,user_id,recipe_id,date,rating
1002,0,0,2003-01-02,5
1003,1,0,2004-05-25,5
1005,2,0,2004-09-20,5
1006,3,0,2004-12-27,5
1008,4,0,2005-02-15,5
1010,5,0,2005-07-23,5
1011,6,0,2005-11-10,0
1012,7,0,2006-02-26,0
1014,8,0,2006-05-13,4
1015,9,0,2006-09-24,5
1017,10,0,2007-02-11,5
1018,11,0,2007-04-07,5
1019,12,0,2007-06-22,5
1023,13,0,2008-05-03,5
1024,14,0,2008-05-09,5
1026,15,0,2008-12-11,5
1027,16,0,2009-10-08,5
1028,17,0,2010-01-12,5
1029,18,0,2010-03-21,5
1031,19,0,2011-01-10,4
1032,20,0,2011-02-06,5
1408,21,1,2006-04-02,5
1409,22,1,2006-04-10,5
1410,23,1,2006-04-23,5
1411,24,1,2006-04-26,5
1412,25,1,2006-05-25,5
1413,26,1,2006-06-29,4
1415,27,1,2006-07-13,5
1416,28,1,2006-08-05,5
1417,29,1,2006-09-23,4
1418,30,1,2006-11-07,5
1419,31,1,2007-02-03,5
1420,32,1,2007-02-07,4
1421,33,1,2007-02-14,4
1422,34,1,2007-03-04,4
1423,35,1,2007-03-06,5
1424,36,1,2007-03-20,4
1427,37,1,2007-04-21,4
1429,38,1,2007-05-16,5
1431,39,1,2007-09-06,5
1432,40,1,2007-10-28,5
1433,41,1,2007-11-08,5
1434,42,1,2007-11-17,5
1435,43,1,2007-11-18,5
1437,44,1,2007-11-25,4
1438,45,1,2007-11-26,5
1439,46,1,2007-12-03,5
1440,47,1,2007-12-07,5
1441,48,1,2008-01-14,5
1442,49,1,2008-01-15,4
1443,50,1,2008-01-18,5
1444,51,1,2008-02-06,5
1445,52,1,2008-02-07,5
1446,53,1,2008-03-16,4
1447,54,1,2008-03-18,5
1448,55,1,2008-05-13,5
1449,56,1,2008-07-05,5
1451,57,1,2008-07-24,4
1452,58,1,2008-10-05,3
1453,59,1,2008-10-28,5
1455,60,1,2008-12-23,5
1457,61,1,2009-01-22,5
1458,62,1,2009-02-20,5
1459,63,1,2009-03-13,5
1461,64,1,2009-04-13,4
1462,65,1,2009-04-15,5
1463,66,1,2009-04-25,5
1464,67,1,2009-06-01,5
1466,68,1,2009-06-22,5
1467,69,1,2009-07-29,4
1469,70,1,2009-09-03,4
1470,71,1,2009-09-25,3
1471,72,1,2009-09-30,5
1472,73,1,2009-10-07,5
1473,74,1,2009-10-10,5
1474,75,1,2009-10-13,5
1475,76,1,2009-10-14,5
1481,77,1,2009-11-21,4
1483,78,1,2009-12-13,5
1484,79,1,2009-12-23,5
1485,80,1,2010-01-10,5
1489,81,1,2010-04-19,4
1497,82,1,2011-11-03,4
1498,83,1,2011-11-15,4
1501,84,1,2012-11-25,4
1502,85,1,2013-12-05,5
1509,86,1,2016-08-12,5
1510,87,1,2016-12-31,3
1513,88,1,2017-05-03,5
2760,89,2,2003-07-12,5
2761,90,2,2003-12-30,5
2762,91,2,2004-01-06,4
2764,92,2,2004-04-08,5
2765,93,2,2005-03-30,5
2768,94,2,2007-03-11,4
2774,95,2,2008-01-05,5
2775,96,2,2008-02-22,5
2776,97,2,2008-03-25,5
2777,98,2,2008-12-05,5
2779,99,2,2009-05-01,5
2782,100,2,2009-10-06,4
2783,101,2,2009-12-06,5
2785,102,2,2010-05-24,5
2786,103,2,2010-06-27,5
2787,104,2,2010-07-02,5
2789,49,2,2010-09-01,5
5659,105,3,2006-02-14,5
5660,106,3,2006-03-10,5
5661,107,3,2006-03-27,5
5662,108,3,2006-06-20,5
5664,109,3,2006-08-12,4
5665,110,3,2006-08-23,5
5666,111,3,2007-01-14,4
5667,112,3,2007-01-29,5
5668,113,3,2007-07-16,5
5669,114,3,2007-07-18,5
5670,115,3,2007-10-24,5
5671,116,3,2007-12-09,5
5673,117,3,2008-01-01,4
5674,1,3,2008-01-20,5
5675,118,3,2008-01-28,5
5679,119,3,2008-07-17,4
5680,120,3,2008-11-06,5
5682,121,3,2009-01-17,5
5683,122,3,2009-01-21,5
5684,123,3,2009-02-09,5
5687,124,3,2010-03-19,5
5690,61,3,2010-07-11,5
5692,125,3,2010-10-21,5
5699,126,3,2013-04-27,5
5700,127,3,2014-04-26,5
6108,128,4,2012-04-19,5
6348,129,5,2008-10-09,3
6545,130,6,2001-10-19,5
6546,131,6,2002-03-22,5
6547,132,6,2002-04-02,5
6548,133,6,2002-04-10,5
6549,134,6,2002-04-14,4
6550,135,6,2002-04-20,5
6552,136,6,2002-05-02,5
6554,137,6,2002-05-08,5
6555,138,6,2002-05-15,5
6556,139,6,2002-06-05,4
6557,93,6,2002-07-14,5
6558,140,6,2002-08-19,5
6559,141,6,2003-04-23,5
6560,142,6,2003-11-03,4
6562,9,6,2005-09-11,5
6563,143,6,2005-12-06,5
6564,10,6,2006-04-10,5
6565,144,6,2006-12-07,5
6566,145,6,2006-12-25,4
6567,146,6,2007-03-06,3
6569,147,6,2007-03-08,3
6571,148,6,2008-09-30,4
6572,149,6,2009-05-11,4
6576,150,6,2010-12-25,5
6577,151,6,2011-04-11,5
6578,152,6,2011-04-20,5
6579,153,6,2011-05-15,5
10838,154,7,2006-11-25,5
11143,155,7,2003-01-22,5
11144,156,7,2003-05-26,5
11145,157,7,2003-09-19,5
11146,158,7,2004-02-13,5
11147,159,7,2004-02-18,3
11148,160,7,2004-04-03,5
11149,161,7,2004-12-23,5
11151,162,7,2005-07-25,4
11152,163,7,2005-10-19,4
11153,164,7,2005-10-22,4
11154,165,7,2005-12-25,5
11156,166,7,2006-02-22,5
11159,167,7,2006-06-19,5
11160,168,7,2006-06-21,5
11162,169,7,2006-06-27,5
11163,170,7,2006-06-27,5
11164,171,7,2006-10-03,5
11165,172,7,2007-01-15,3
11166,173,7,2007-03-16,3
11167,174,7,2007-03-26,5
11168,175,7,2007-04-06,4
11170,176,7,2009-05-08,5
11171,177,7,2010-04-15,3
11172,178,7,2010-05-12,5
11173,21,7,2014-09-04,5
11174,179,7,2014-09-06,5
11175,180,7,2014-09-09,5
11259,181,8,2004-05-23,5
11261,182,8,2004-05-23,5
11264,183,8,2006-02-11,4
11265,184,8,2006-03-04,5
11266,185,8,2006-03-15,3
11267,142,8,2006-05-10,5
11268,186,8,2006-10-28,5
11270,187,8,2007-01-22,4
11274,188,8,2007-08-13,5
11275,52,8,2007-08-28,5
11277,189,8,2007-09-05,4
11280,190,8,2007-12-14,5
11281,191,8,2008-01-05,5
11282,192,8,2008-02-09,5
11283,193,8,2008-02-23,5
11284,194,8,2008-02-23,5
11288,195,8,2008-08-27,5
11290,196,8,2008-09-26,5
11291,197,8,2008-10-02,5
11292,198,8,2008-11-09,5
11295,199,8,2009-01-05,4
11296,200,8,2009-01-23,5
11297,201,8,2009-02-13,5
11299,202,8,2009-03-29,4
11300,123,8,2009-03-30,5
11305,203,8,2009-10-11,5
11307,204,8,2009-10-22,4
11308,205,8,2009-12-06,5
11311,206,8,2010-01-25,5
11313,207,8,2010-03-24,5
11315,208,8,2010-06-22,5
11316,209,8,2010-08-15,5
11323,210,8,2012-02-08,5
11325,211,8,2012-06-21,5
11329,212,8,2014-01-08,5
11330,35,8,2014-01-27,5
11331,213,8,2014-09-08,5
11952,89,9,2004-05-31,5
11953,214,9,2004-06-15,5
11954,215,9,2004-07-12,5
11955,216,9,2004-09-06,5
11957,217,9,2005-03-29,5
11958,218,9,2005-05-13,5
11960,219,9,2005-05-29,5
11961,220,9,2005-06-19,5
11962,221,9,2005-07-03,4
11967,222,9,2007-02-11,5
11969,223,9,2007-05-01,4
11971,224,9,2007-07-01,5
11972,225,9,2007-08-07,4
11974,226,9,2007-12-09,4
11975,227,9,2008-02-02,4
11976,228,9,2008-05-27,5
11977,229,9,2008-05-27,5
11979,230,9,2008-06-03,5
11980,231,9,2008-06-15,4
11982,232,9,2008-06-27,5
11983,233,9,2008-06-29,4
11984,234,9,2008-07-05,4
11985,235,9,2008-07-07,5
11987,236,9,2008-07-10,5
11988,237,9,2008-08-13,5
11990,83,9,2008-09-08,5
11991,238,9,2008-09-20,5
11992,239,9,2008-09-27,4
11993,240,9,2009-01-07,5
11995,241,9,2009-03-28,5
11996,242,9,2009-04-10,5
11997,243,9,2009-04-25,5
12000,244,9,2009-06-16,5
12001,245,9,2009-07-05,5
12006,56,9,2009-11-08,5
12011,246,9,2010-03-31,5
12012,247,9,2010-04-07,5
12013,248,9,2010-05-02,5
12015,249,9,2010-05-25,5
12018,250,9,2010-06-06,5
12020,251,9,2010-06-11,5
12023,252,9,2010-06-23,5
12024,200,9,2010-07-08,5
12027,253,9,2011-03-09,5
12028,210,9,2011-03-28,5
12029,254,9,2011-05-30,5
12031,255,9,2011-07-14,5
12033,256,9,2011-08-26,5
12035,257,9,2011-09-05,5
12036,258,9,2012-03-19,5
12039,259,9,2013-09-15,5
12047,260,9,2017-09-05,2
12421,89,10,2004-12-13,5
12423,261,10,2005-01-06,5
12424,262,10,2005-01-13,5
12425,263,10,2005-08-11,5
12427,264,10,2006-03-05,1
12428,265,10,2006-10-15,5
12430,266,10,2008-05-08,5
12454,267,10,2010-03-02,5
12455,268,10,2010-03-13,5
12459,114,10,2010-06-26,5
12462,269,10,2011-02-01,3
12488,270,10,2013-04-13,5
12492,271,10,2013-11-04,5
14582,272,11,2002-11-13,5
14583,273,11,2003-01-10,5
14584,274,11,2003-01-11,5
14585,275,11,2003-01-13,5
14589,276,11,2003-08-25,5
14591,277,11,2003-10-15,5
14592,278,11,2003-12-03,4
14593,279,11,2004-01-02,5
14594,280,11,2004-01-02,4
14595,281,11,2004-02-04,4
14598,282,11,2004-03-07,4
14600,283,11,2004-08-11,5
14602,284,11,2004-12-13,5
14603,285,11,2005-01-17,5
14604,286,11,2005-01-19,4
14606,287,11,2005-04-25,5
14607,288,11,2005-11-28,5
14608,289,11,2006-04-01,5
14609,36,11,2006-04-27,5
14610,290,11,2006-09-28,5
14611,291,11,2006-10-05,4
14612,292,11,2006-10-07,5
14613,293,11,2007-01-05,5
14614,294,11,2007-01-18,5
14615,226,11,2007-01-20,3
14617,295,11,2007-06-25,5
14618,296,11,2007-09-20,5
