,name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,region
36,how i got my family to eat spinach  spinach casserole,286,50,37305,2002-04-22,"[7, 306, 80, 176, 230, 197, 52, 175, 265, 98, 315, 202, 95, 228, 316, 55, 90, 166, 167, 148, 170, 307, 101, 127, 193]","[166.1, 16.0, 6.0, 32.0, 19.0, 26.0, 3.0]",5,"['preheat oven to 350 degrees', 'place spinach in strainer and squeeze all extra liquid from it', 'in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well', 'pour into a 2 quart casserole dish and top with croutons', 'bake for 35 to 40 minutes , or until bubbling around edges']","if spinach scares you, this is one recipe that contains spinach that you do not have to be afraid of! it is so delicious that even my picky kids like it. my mother-in-law makes this for get-togethers and she passed the recipe on to me. you can also use broccoli instead of the spinach, which she does often, but i have never tried...it is great the way it is! she also eats this hot or cold, but i only like it hot :) enjoy!","[906, 920, 225, 708, 495, 360, 957, 917]",8,
53,land of nod  cinnamon buns,62,35,29212,2002-03-14,"[7, 306, 80, 230, 36, 202, 95, 90, 101]","[575.3, 18.0, 116.0, 34.0, 28.0, 22.0, 34.0]",7,"['before you turn in for the night , grease a 10"" bundt pan and add frozen rolls', 'sprinkle with brown sugar , pudding powder , cinnamon and raisins', 'pour melted butter over all', 'cover with a clean , damp cloth', 'off to bed you go !', 'in the morning , preheat oven to 350 and bake for 25 minutes', 'let sit for 5 minutes and then turn out on a serving plate']","i have made this several times and it's dead easy. if you have overnight guests, what could be easier for breakfast? i've made it on special occasions, too, such as easter morning and christmas morning, etc. this recipe comes from the best of bridge series.","[98, 741, 965, 504, 532, 691]",6,
67,never weep  whipped cream,38,5,87877,2003-11-01,"[2, 306, 80, 176, 230, 6, 75, 98, 95, 238, 119, 101, 266, 184]","[276.3, 45.0, 2.0, 1.0, 3.0, 91.0, 0.0]",4,"['whip all ingredients together until firm peaks form', 'cover leftovers tightly , preferably in an air-tight plastic container', 'this stays the same consistency until used', 'it will keep for a week in the fridge without deflating']","i don't know where i got this, but it works. the whipped cream will keep for a week in the fridge without deflating... great for party make-ahead.","[53, 958, 909, 718]",4,
79,real  italian bolognese sauce,423,160,124847,2004-02-14,"[306, 80, 83, 230, 252, 75, 102, 151, 90, 5]","[1260.7, 97.0, 11.0, 71.0, 103.0, 119.0, 38.0]",16,"['in a dutch oven or medium size pot , heat butter and olive oil over medium heat until butter begins to froth', 'add onion , celery , carrot , garlic , and bacon', 'cook until onions are translucent', 'remove bacon and remove fat', 'chop lean portions of bacon in small pieces and return to pot', 'add ground beef and ground pork , and cook until meat loses red , raw color', 'raise heat and add wine and consomme', 'cook sauce until wine and consomme are mostly evaporated', 'turn heat down to simmer and add oregano , salt , pepper , sage , red pepper flakes , and nutmeg', 'let cook for approximately 20 minutes', 'add crushed tomatoes and bring heat to a boil', 'once the mixture comes to a boil , return to simmer', 'let sauce simmer partially covered for about 2 to 4 hours , stirring occasionally to prevent sticking', 'about 5 to 10 minutes before serving , add milk', 'sauce can now be added to cooked penne pasta , spaghetti or many other pastas to your liking', 'remaining sauce may be frozen for up to two months for future use']","after traveling throughout italy, savoring the fine tastes of bolognese from the many different regions, i decided to formulate my own. try it, you'll love it.","[916, 495, 470, 723, 416, 691, 587, 975, 424, 979, 936, 877, 225, 708, 724, 521, 85, 181, 224, 414]",20,european
84,say what   banana sandwich,458,5,118163,2004-07-20,"[2, 306, 80, 176, 83, 230, 197, 189, 6, 174, 117, 10, 274, 95, 102, 27, 105, 156, 316, 90, 251, 148, 308, 310, 20, 42, 300, 296, 307, 231]","[238.0, 3.0, 66.0, 10.0, 10.0, 2.0, 17.0]",4,"['spread a tablespoon on one side of each slice on bread', 'peel and cut the bananas into 1 / 4-inch round slices', 'lay the slices on two of the slices of bread and then top with the other half', 'enjoy !']",you just have to try it to believe it.,"[391, 608, 302]",3,north-american
106,wacky cake,283,40,35965,2002-09-15,"[7, 306, 80, 176, 83, 230, 197, 189, 171, 88, 10, 202, 95, 27, 228, 91, 156, 214, 44, 63, 90, 168, 74, 136, 170, 300, 307, 101, 193]","[2252.6, 130.0, 802.0, 101.0, 44.0, 54.0, 117.0]",7,"['sift together and make 3 holes in dry ingredients', 'in first hole , pour vegetable oil', 'in second hole , pour vinegar', 'in third hole , pour vanilla', 'pour cold water over all', 'mix well with fork or whisk , but do not beat', 'bake in greased 8 x 8 pan for about 35 minutes at 350 deg f']",this is mom's favorite chocolate cake. easy to make and has a little different twist. also has no eggs or dairy products. pick your favorite frosting for the top--mom likes 7-minute the best.,"[1001, 2, 326, 444, 225, 998, 689, 815, 101]",9,north-american
126,25 pumpkin pie,331,80,23728,2002-01-17,"[319, 306, 80, 176, 83, 230, 197, 189, 216, 88, 315, 10, 202, 103, 137, 144, 316, 323, 215, 108, 90, 65, 304, 259, 74, 148, 300, 101, 266, 5]","[350.0, 27.0, 109.0, 13.0, 12.0, 38.0, 13.0]",19,"['adjust an oven rack to lowest position and heat oven to 400f', 'prepare pie crust for blind baking', 'bake crust for 15 minutes', 'remove parchment from crust , prick any bubbles with a sharp fork and bake shell for 8 to 10 minutes longer , or until bottom just begins to color', 'remove crust from oven and brush lightly with egg white while still hot', 'process pumpkin , sugar , spices and salt ingredients in a food processor fitted with steel blade for 1 minute', 'transfer mixture to a 3-quart heavy saucepan', 'bring it to a sputtering simmer over medium-high heat', 'cook pumpkin , stirring constantly , until thick and shiny , about 5 minutes', 'as soon as pie shell comes out of oven , whisk heavy cream and milk into pumpkin and bring to a bare simmer', 'process eggs in food processor until whites and yolks are mixed , about 5 seconds', 'gradually pour hot pumpkin mixture through feed tube while still running', 'process 30 seconds', 'pour warm filling into hot pie shell', 'put a crust shield on completed pie and bake about 25 minutes', 'filling will be dry-looking and lightly cracked around the edge', 'the center will wiggle when pie is gently shaken', 'cool on a wire rack to a warm room temperature', 'serve with slightly sweetened whipped cream']","a unique baking method preserves crispness of the crust and yields a slightly spicy, not too sweet pumpkin pie. the name came shortly after someone purchased three of them from me for $75 :-)","[362, 217, 767, 549, 843, 346, 181, 925, 225, 298, 224, 441]",12,north-american
147,ant  kelly s london broil marinade,247,200,59476,2006-02-13,"[306, 176, 230, 197, 317, 24, 22, 90, 143, 167, 142, 170, 178, 307, 101, 127, 5]","[673.5, 61.0, 18.0, 67.0, 133.0, 57.0, 2.0]",13,"['mix all marinade ingredients together', 'lightly score meat in a diamond pattern on each side', 'place meat in a resealable bag', 'pour in marinade', 'squish meat and marinade around to get all the nooks and crannies', 'marinate in refrigerator 2-3 hours or up to 24 hours , rotating occasionally', 'can be frozen in the marinade too', '20-30 minutes before cooking take meat out of the refrigerator to come up in temperature', 'cook in the broiler or on the grill on high heat for 5-7 minutes per side depending on thickness and desired doneness', 'i have been asked about roasting temperatures , i have never done this , always grill or broil', 'for camping - place the fresh london broil and marinade in a zipperbag , squeeze out as much air as possible , seal , place inside a vacuum pack bag', 'vacuum pack and freeze', 'put frozen in the camping cooler , after a day or two it is defrosted and can be cooked on the grill with minimal preparation and mess']","my niece shwana loves this!  she always writes my name ""ant"" kelly when we play rummy or scrabble - started when she was little and stuck.  
i always make this when we go tubing in wisconsin.  

prep time includes does not include time to marinate.","[1005, 91, 772, 587, 752, 577, 351, 149]",8,
151,bar  cheese,27,35,44807,2002-10-03,"[7, 306, 80, 176, 230, 197, 12, 98, 95, 27, 281, 55, 290, 90, 121, 78, 148, 192, 101, 193]","[707.1, 76.0, 91.0, 147.0, 74.0, 161.0, 9.0]",8,"['in a large sauce pan over low heat , melt the velveeta', 'add the jar of horseradish and mix', 'allow this to heat on low for 15 minutes , stirring often', 'add the mayo , worcestershire , and tabasco', 'mix and allow to heat another 10 minutes , stirring often', 'cool slightly and pour into 4 or 5 containers', 'refrigerate', 'serve on your choice of crackers']",a friend shared this with me last year. i have made a batch a month since then. it is an adaptation of a famous restaurants signature cheese. everyone likes it. it makes a great present. it will keep for extended periods when refrigerated but mine has never lasted more than a week. enjoy.,"[158, 608, 666, 95, 772]",5,
180,da best  chicago style italian beef,476,645,94272,2004-07-13,"[306, 80, 176, 83, 230, 197, 189, 317, 174, 175, 24, 10, 202, 95, 156, 90, 173, 251, 143, 167, 183, 142, 170, 178, 242, 300, 253, 101]","[657.6, 60.0, 3.0, 21.0, 135.0, 77.0, 1.0]",10,"['preheat oven to 325f', 'sprinkle the roast with garlic powder , oregano and pepper , then cook roast , uncovered , in a shallow roasting pan , about 30 minutes per pound', ""roast will be very rare-- don't overcook it !"", 'let cool slightly , then thinly slice', ""add to the roast's pan drippings: the boiling water , bouillon cubes , oregano , thyme , pepper , tabasco sauce , garlic and worcestershire sauce"", 'simmer for 20 minutes , scraping up the browned bits', 'taste for salt and add some if you wish', 'add the sliced beef', 'cover and marinate in da gravy overnight', 'reheat the next day and serve in crusty italian sandwich rolls']","tender, garlicky and full of oregano 'n stuff! start this one a day ahead; the beef slices need an overnight stay in da gravy to be at their best. and please don't overcook the roast! as it rests right out of the oven and as it's reheated it'll stop mooing! serve on crusty italian sandwich rolls; add sauteed peppers if you like, but too much more and it starts looking like a philly steak 'n cheese, a whole other beast. prep time includes overnight marinating.","[696, 1000, 575, 708, 585, 370, 657, 95, 752, 772, 225]",11,north-american
