id,name
0,
1,1-day-or-more
2,15-minutes-or-less
3,3-steps-or-less
4,30-minutes-or-less
5,4-hours-or-less
6,5-ingredients-or-less
7,60-minutes-or-less
8,a1-sauce
9,african
10,american
11,amish-mennonite
12,appetizers
13,apples
14,asian
15,asparagus
16,australian
17,bacon
18,baja
19,baking
20,bananas
21,bar-cookies
22,barbecue
23,beans
24,beef
25,beef-ribs
26,beef-sausage
27,beginner-cook
28,berries
29,beverages
30,bisques-cream-soups
31,black-beans
32,blueberries
33,bok-choys
34,bread-machine
35,breads
36,breakfast
37,broccoli
38,broil
39,brown-bag
40,brown-rice
41,brownies
42,brunch
43,cake-fillings-and-frostings
44,cakes
45,californian
46,camping
47,canadian
48,candy
49,canning
50,caribbean
51,carrots
52,casseroles
53,cauliflower
54,central-american
55,cheese
56,cheesecake
57,cherries
58,chicken
59,chicken-breasts
60,chicken-thighs-legs
61,chili
62,chinese
63,chocolate
64,chowders
65,christmas
66,citrus
67,clear-soups
68,cobblers-and-crisps
69,cocktails
70,coconut
71,cod
72,coffee-cakes
73,collard-greens
74,comfort-food
75,condiments-etc
76,cookies-and-brownies
77,cooking-mixes
78,copycat
79,corn
80,course
81,creole
82,crock-pot-slow-cooker
83,cuisine
84,cupcakes
85,curries
86,dairy-free
87,deep-fry
88,desserts
89,diabetic
90,dietary
91,dinner-party
92,dips
93,drop-cookies
94,easter
95,easy
96,egg-free
97,eggs
98,eggs-dairy
99,elbow-macaroni
100,english
101,equipment
102,european
103,fall
104,filipino
105,finger-food
106,fish
107,flat-shapes
108,food-processor-blender
109,for-1-or-2
110,for-large-groups
111,free-of-something
112,freezer
113,french
114,freshwater-fish
115,from-scratch
116,frozen-desserts
117,fruit
118,fudge
119,garnishes
120,german
121,gifts
122,gluten-free
123,grains
124,granola-and-porridge
125,green-yellow-beans
126,greens
127,grilling
128,ground-beef
129,gumbo
130,halloween
131,ham
132,hand-formed-cookies
133,hanukkah
134,hawaiian
135,healthy
136,healthy-2
137,heirloom-historical
138,herb-and-spice-mixes
139,hidden-valley-ranch
140,high-calcium
141,high-fiber
142,high-in-something
143,high-protein
144,holiday-event
145,hungarian
146,independence-day
147,indian
148,inexpensive
149,infant-baby-friendly
150,irish
151,italian
152,jams-and-preserves
153,japanese
154,jellies
155,jewish-ashkenazi
156,kid-friendly
157,kosher
158,kwanzaa
159,lactose
160,lamb-sheep
161,lasagna
162,lebanese
163,lemon
164,lentils
165,long-grain-rice
166,low-calorie
167,low-carb
168,low-cholesterol
169,low-fat
170,low-in-something
171,low-protein
172,low-saturated-fat
173,low-sodium
174,lunch
175,main-dish
176,main-ingredient
177,marinades-and-rubs
178,meat
179,medium-grain-rice
180,mexican
181,microwave
182,middle-eastern
183,midwestern
184,mixer
185,muffins
186,mushrooms
187,new-years
188,no-cook
189,north-american
190,northeastern-united-states
191,norwegian
192,novelty
193,number-of-servings
194,nut-free
195,nuts
196,oamc-freezer-make-ahead
197,occasion
198,omelets-and-frittatas
199,one-dish-meal
200,onions
201,ontario
202,oven
203,pacific-northwest
204,pancakes-and-waffles
205,pasta
206,pasta-rice-and-grains
207,pasta-shells
208,peaches
209,peanut-butter
210,pears
211,penne
212,pennsylvania-dutch
213,peppers
214,picnic
215,pies
216,pies-and-tarts
217,pineapple
218,pitted-fruit
219,pizza
220,polish
221,polynesian
222,pork
223,pork-chops
224,pork-loins
225,pork-ribs
226,pork-sausage
227,potatoes
228,potluck
229,poultry
230,preparation
231,presentation
232,puddings-and-mousses
233,puerto-rican
234,quick-breads
235,ramadan
236,raspberries
237,ravioli-tortellini
238,refrigerator
239,reynolds-wrap
240,rice
241,roast
242,roast-beef
243,rolls-biscuits
244,romantic
245,rosh-hashana
246,rosh-hashanah
247,salad-dressings
248,salads
249,salmon
250,saltwater-fish
251,sandwiches
252,sauces
253,savory
254,savory-pies
255,savory-sauces
256,scandinavian
257,scottish
258,seafood
259,seasonal
260,served-cold
261,served-hot
262,shellfish
263,short-grain-rice
264,shrimp
265,side-dishes
266,small-appliance
267,smoothies
268,snacks
269,soul
270,soups-stews
271,sourdough
272,south-american
273,south-west-pacific
274,southern-united-states
275,southwestern-united-states
276,soy-tofu
277,spaghetti
278,spanish
279,spicy
280,spinach
281,spreads
282,spring
283,squash
284,st-patricks-day
285,steak
286,steam
287,stews
288,stir-fry
289,stocks
290,stove-top
291,strawberries
292,summer
293,super-bowl
294,superbowl
295,swedish
296,sweet
297,sweet-sauces
298,szechuan
299,tarts
300,taste-mood
301,technique
302,tex-mex
303,thai
304,thanksgiving
305,tilapia
306,time-to-make
307,to-go
308,toddler-friendly
309,tomatoes
310,tropical-fruit
311,tuna
312,turkey
313,valentines-day
314,vegan
315,vegetables
316,vegetarian
317,very-low-carbs
318,water-bath
319,weeknight
320,white-rice
321,whole-chicken
322,wings
323,winter
324,yams-sweet-potatoes
325,yeast
